Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B3R1,3,1st point,47.095,D3Gac,48,57,5.99,51.9,60
B3R2,1,1st point,34.018,D3Gac,44,56,6.03,49.4,60
B3R2,2,1st point,30.517,D3Gac,44,52.5,5.42,49.4,60
B3R2,3,1st point,31.220,D3Gac,45,54,6.38,49.7,60
B3R3,1,1st point,43.190,D3Gac,46,52.5,6.39,51.1,60
B3R3,2,1st point,41.798,D3Gac,46,53.5,6.05,51.4,60
B3R3,3,1st point,46.833,D3Gac,46,54,6.25,51.3,60
B1R2,1,Harvest,7.200,C3Gac,69,54.5,10.67,75.33,60
B1R2,2,Harvest,5.574,C3Gac,69,57,11.24,75.67,60
B1R2,3,Harvest,6.979,C3Gac,69,51.5,10.58,75.98,60
B1R3,1,Harvest,7.890,C3Gac,47,52,8.71,52.66,60
B1R3,2,Harvest,6.309,C3Gac,47,57,8.71,52.89,60
B1R3,3,Harvest,4.906,C3Gac,47,57,8.76,52.14,60
B1R4,1,Harvest,6.273,C3Gac,47,53,8.05,51.76,60
B1R4,2,Harvest,7.689,C3Gac,47,52,7.04,51.59,60
B1R4,3,Harvest,7.271,C3Gac,47,54.5,8.19,51.77,60
B2R1,1,Harvest,7.939,C3Gac,60,50.5,9.79,67.05,60
B2R1,2,Harvest,7.344,C3Gac,60,53.5,10.54,67.21,60
B2R1,3,Harvest,7.760,C3Gac,61,50.5,10.56,67.11,60
B2R2,1,Harvest,10.670,C3Gac,58,51,10.42,64.16,60
B2R2,2,Harvest,7.249,C3Gac,58,53,10.23,64.18,60
B2R2,3,Harvest,8.630,C3Gac,58,54.5,10.71,64.23,60
B2R3,1,Harvest,6.995,C3Gac,52,53.5,7.54,57.23,60
B2R3,2,Harvest,5.613,C3Gac,52,59,7.01,56.82,60
B2R3,3,Harvest,5.330,C3Gac,52,54,7.31,57.06,60
B3R1,1,Harvest,6.902,C3Gac,56,57.5,8.93,62.67,60
B3R1,2,Harvest,6.277,C3Gac,56,55.5,9.59,62.56,60
