Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B2R1,1,Harvest,0.041848013,Delphinidin-3-glucoside,D3G,2
B2R1,2,Harvest,0.035423033,Delphinidin-3-glucoside,D3G,2
B2R1,3,Harvest,0.039961257,Delphinidin-3-glucoside,D3G,2
B2R1,1,1st point,0.015190719,Delphinidin-3-glucoside,D3G,2
B2R1,2,1st point,0.015167081,Delphinidin-3-glucoside,D3G,2
B2R1,3,1st point,0.01683911,Delphinidin-3-glucoside,D3G,2
B2R1,1,Harvest,0.006579938,Cyanindin-3-glucoside,C3G,2
B2R1,2,Harvest,0.005909628,Cyanindin-3-glucoside,C3G,2
B2R1,3,Harvest,0.005819555,Cyanindin-3-glucoside,C3G,2
B2R1,1,1st point,0.004788313,Cyanindin-3-glucoside,C3G,2
B2R1,2,1st point,0.004448899,Cyanindin-3-glucoside,C3G,2
B2R1,3,1st point,0.004978109,Cyanindin-3-glucoside,C3G,2
B2R1,1,Harvest,0.032143698,Petunidin-3-glucoside,Pet3G,2
B2R1,2,Harvest,0.02863072,Petunidin-3-glucoside,Pet3G,2
B2R1,3,Harvest,0.031647264,Petunidin-3-glucoside,Pet3G,2
B2R1,1,1st point,0.012127329,Petunidin-3-glucoside,Pet3G,2
B2R1,2,1st point,0.012417042,Petunidin-3-glucoside,Pet3G,2
B2R1,3,1st point,0.013518491,Petunidin-3-glucoside,Pet3G,2
B2R1,1,Harvest,0.030108466,Peonidin-3-glucoside,Peo3G,2
B2R1,2,Harvest,0.027222703,Peonidin-3-glucoside,Peo3G,2
B2R1,3,Harvest,0.028727773,Peonidin-3-glucoside,Peo3G,2
B2R1,1,1st point,0.013809643,Peonidin-3-glucoside,Peo3G,2
B2R1,2,1st point,0.014111293,Peonidin-3-glucoside,Peo3G,2
B2R1,3,1st point,0.015303784,Peonidin-3-glucoside,Peo3G,2
B2R1,1,Harvest,0.246549254,Malvidin-3-glucoside,M3G,2
B2R1,2,Harvest,0.22573831,Malvidin-3-glucoside,M3G,2
B2R1,3,Harvest,0.238312298,Malvidin-3-glucoside,M3G,2
B2R1,1,1st point,0.072391498,Malvidin-3-glucoside,M3G,2
B2R1,2,1st point,0.07538934,Malvidin-3-glucoside,M3G,2
B2R1,3,1st point,0.079541005,Malvidin-3-glucoside,M3G,2
B2R1,1,Harvest,0.009932913,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2
B2R1,2,Harvest,0.008953171,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2
B2R1,3,Harvest,0.009817577,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2
B2R1,1,1st point,0.005093954,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2
B2R1,2,1st point,0.005273411,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2
B2R1,3,1st point,0.005703374,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2
B2R1,1,Harvest,0.002815416,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2
B2R1,2,Harvest,0.002886516,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2
B2R1,3,Harvest,0.002800744,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2
B2R1,1,1st point,0.002482421,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2
